Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
2,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
3,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
4,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
5,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
6,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
7,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
8,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
9,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
10,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
11,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
12,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
13,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
14,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
15,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
16,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
17,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
18,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
19,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
20,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
21,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
22,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
23,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
24,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
25,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
26,1.0,0.008559431782864639,0.0,0.0,23.92937624809038,0.6713796832731792
